brand,model,trans.,fuel,millage,disp.,year
Suzuki,Sx,Automatic,Petrol,55772,1600,2015
Subaru,Forester,Automatic,Petrol,124000,2000,2014
Toyota,Ist,Automatic,Petrol,18930,1500,2014
Honda,Vezel-hr-v,Automatic,Petrol,47000,1500,2015
Nissan,X-trail,Automatic,Petrol,92000,2000,2014
Nissan,X-trail,Automatic,Petrol,110000,2000,2014
Nissan,X-trail,Automatic,Petrol,103000,2000,2014
Honda,Cr-v,Automatic,Petrol,79273,2400,2011
Honda,Cr-v,Automatic,Petrol,104000,2350,2014
Subaru,Forester,Automatic,Petrol,123000,2000,2014
Suzuki,Sx,Automatic,Petrol,76000,1600,2014
Mercedes-benz,E220,Automatic,Diesel,38000,2100,2012
Toyota,Harrier,Automatic,Petrol,69000,2000,2015
Toyota,Harrier,Automatic,Petrol,60000,2000,2015
Nissan,X-trail,Automatic,Petrol,96514,2000,2013
Subaru,Outback,Automatic,Petrol,70000,2500,2016
Toyota,Harrier,Automatic,Petrol,84000,2000,2015
Nissan,X-trail,Automatic,Petrol,88000,2000,2014
Mazda,Cx-5,Automatic,Petrol,117045,2000,2013
Toyota,Harrier,Automatic,Petrol,64000,2000,2015
Mercedes-benz,A-class,Automatic,Petrol,23652,1690,2012
Toyota,Harrier,Automatic,Petrol,81000,2000,2014
Nissan,X-trail,Automatic,Petrol,79000,2000,2014
Mitsubishi,Outlander,Automatic,Petrol,84216,2400,2014
Toyota,Harrier,Automatic,Petrol,74000,2000,2014
Toyota,Harrier,Automatic,Petrol,85000,2000,2014
Nissan,X-trail,Automatic,Petrol,86000,2000,2014
Nissan,X-trail,Automatic,Petrol,82000,2000,2014
Toyota,Harrier,Automatic,Petrol,103778,2000,2014
Subaru,Outback,Automatic,Petrol,133000,2500,2015
Nissan,X-trail,Automatic,Petrol,99000,2000,2014
Toyota,Fortuner,Automatic,Diesel,124000,3000,2011
Nissan,Dualis,Automatic,Petrol,120000,1990,2010
Toyota,Axio,Automatic,Petrol,83459,1500,2015
Honda,Cr-v,Automatic,Petrol,68000,2000,2010
Toyota,Belta,Automatic,Petrol,89000,1300,2011
Bmw,X3,Automatic,Petrol,46000,2500,2010
Mazda,Cx-5,Automatic,Diesel,92476,2200,2014
Subaru,Outback,Automatic,Petrol,111000,2500,2015
Nissan,X-trail,Automatic,Petrol,84000,2000,2014
Nissan,X-trail,Automatic,Petrol,112000,2000,2014
Nissan,X-trail,Automatic,Petrol,84000,1990,2014
Mazda,Cx-5,Automatic,Petrol,107000,2000,2013
Subaru,Outback,Automatic,Petrol,76000,2500,2015
Nissan,X-trail,Automatic,Petrol,85000,2000,2014
Nissan,X-trail,Automatic,Petrol,110000,1990,2014
Toyota,Harrier,Automatic,Petrol,84000,2000,2015
Toyota,Harrier,Automatic,Petrol,77000,2000,2015
Suzuki,Sx,Automatic,Petrol,100000,1500,2011
Subaru,Forester,Automatic,Petrol,75000,1990,2014
Toyota,Harrier,Automatic,Petrol,83000,2000,2014
Subaru,Forester,Automatic,Petrol,97000,2000,2013
Toyota,Harrier,Automatic,Petrol,91000,2000,2015
Nissan,Caravan,Manual,Diesel,12000,2700,2010
Nissan,X-trail,Automatic,Petrol,109875,2000,2014
Subaru,Forester,Automatic,Petrol,92671,2000,2013
Toyota,Harrier,Automatic,Petrol,94893,2000,2014
Bmw,X3,Automatic,Petrol,95000,3000,2013
Toyota,Harrier,Automatic,Petrol,54000,2000,2015
Toyota,Auris,Automatic,Petrol,126000,1800,2013
Nissan,Dualis,Automatic,Petrol,87000,2000,2013
Toyota,Rav4,Automatic,Petrol,64900,1987,2015
Toyota,Rush,Automatic,Petrol,105526,1500,2013
Toyota,Bb,Automatic,Petrol,79000,1300,2012
Mitsubishi,L200,Manual,Diesel,139000,2500,2010
Nissan,Cube,Automatic,Petrol,117000,1500,2012
Bmw,X6,Automatic,Petrol,96000,3000,2010
Mercedes-benz,C250,Automatic,Petrol,100000,2500,2012
Toyota,Harrier,Automatic,Petrol,53000,2000,2015
Subaru,Outback,Automatic,Petrol,60000,2500,2015
Honda,Fit,Automatic,Petrol,78690,1500,2014
Toyota,Rav4,Automatic,Petrol,94775,2000,2013
Toyota,Harrier,Automatic,Petrol,87000,2000,2014
Toyota,Harrier,Automatic,Petrol,91000,2000,2014
Nissan,X-trail,Automatic,Petrol,59000,2000,2014
Volkswagen,Tiguan,Automatic,Petrol,72000,2000,2013
Toyota,Axio,Automatic,Petrol,109285,1500,2013
Nissan,X-trail,Automatic,Petrol,123000,2000,2012
Subaru,Forester,Automatic,Petrol,65000,1990,2014
Toyota,Harrier,Automatic,Petrol,72278,1980,2014
Volkswagen,Golf,Automatic,Petrol,81000,2000,2013
Nissan,X-trail,Automatic,Petrol,90000,2000,2013
Toyota,Hiace,Automatic,Diesel,126305,3000,2014
Subaru,Outback,Automatic,Petrol,92000,2500,2015
Volkswagen,Touran,Automatic,Petrol,111308,1400,2013
Toyota,Harrier,Automatic,Petrol,68000,2000,2014
Toyota,Harrier,Automatic,Petrol,79000,2000,2014
Toyota,Rush,Automatic,Petrol,95000,1500,2014
Honda,Vezel-hr-v,Automatic,Petrol,120000,1500,2013
Subaru,Outback,Automatic,Petrol,113000,2500,2015
Toyota,Harrier,Automatic,Petrol,72000,2000,2014
Bmw,523i,Automatic,Petrol,99000,2500,2010
Subaru,Forester,Automatic,Petrol,81000,2000,2014
Toyota,Auris,Automatic,Petrol,71872,1200,2015
Subaru,Forester,Automatic,Petrol,84000,2500,2013
Volkswagen,Tiguan,Automatic,Petrol,72000,2000,2013
Mitsubishi,Lancer,Automatic,Petrol,173000,1800,2008
Mazda,Verisa,Automatic,Petrol,54000,1300,2011
Toyota,Isis,Automatic,Petrol,61900,1790,2011
Mitsubishi,Outlander,Automatic,Petrol,148000,2400,2009
Bmw,X5,Automatic,Diesel,36000,3000,2010
Suzuki,Escudo,Automatic,Petrol,131937,2400,2009
Nissan,Advan,Automatic,Petrol,135057,1500,2014
Nissan,Wingroad,Automatic,Petrol,39459,1500,2011
Nissan,Vanette,Automatic,Petrol,147000,1790,2015
Mazda,Cx-5,Automatic,Petrol,71000,1990,2014
Nissan,Advan,Automatic,Petrol,106753,1500,2013
Toyota,Wish,Automatic,Petrol,134000,1790,2014
Nissan,Murano,Automatic,Petrol,117000,2480,2013
Mercedes-benz,Ml-320,Automatic,Diesel,81000,3000,2007
Mercedes-benz,C200,Automatic,Petrol,160000,1800,2009
Nissan,Navara,Automatic,Diesel,117000,2700,2008
Toyota,Rush,Automatic,Petrol,159000,1500,2008
Subaru,Forester,Automatic,Petrol,51000,2000,2015
Mazda,Cx-5,Automatic,Diesel,158000,2200,2014
Toyota,Harrier,Automatic,Petrol,91000,2000,2015
Subaru,Forester,Automatic,Petrol,95000,1990,2013
Toyota,Harrier,Automatic,Petrol,58000,2000,2015
Nissan,X-trail,Automatic,Petrol,187456,2000,2013
Mazda,Cx-5,Automatic,Petrol,115561,2200,2013
Land rover,Range-rover,Automatic,Petrol,115311,2700,2007
Mitsubishi,Rvr,Automatic,Petrol,70000,1800,2013
Toyota,Rav4,Automatic,Petrol,65493,2000,2013
Toyota,Vitz,Automatic,Petrol,104027,1500,2013
Toyota,Ractis,Automatic,Petrol,109168,1300,2013
Toyota,Regius van,Automatic,Petrol,75690,1998,2011
Mitsubishi,L200,Manual,Diesel,76534,2477,2015
Nissan,Dualis,Automatic,Petrol,46500,2000,2009
Toyota,Fielder,Automatic,Petrol,110000,1800,2009
Toyota,Harrier,Automatic,Petrol,70000,2000,2014
Mitsubishi,Outlander,Automatic,Petrol,90700,2350,2012
Toyota,Premio,Automatic,Petrol,99000,1790,2014
Subaru,Outback,Automatic,Petrol,86730,2500,2014
Land rover,Discovery,Automatic,Diesel,112000,3000,2012
Mazda,Axela,Automatic,Petrol,85000,1500,2015
Toyota,Harrier,Automatic,Petrol,74000,2000,2014
Toyota,Vitz,Automatic,Petrol,125000,1300,2013
Bmw,X3,Automatic,Petrol,76000,2000,2014
Toyota,Vanguard,Automatic,Petrol,77000,2490,2013
Mercedes-benz,S-class,Automatic,Petrol,112000,3500,2009
Toyota,Harrier,Automatic,Petrol,65000,2000,2014
Subaru,Forester,Automatic,Petrol,109000,2000,2013
Volkswagen,Tiguan,Automatic,Petrol,73000,2000,2013
Toyota,Wish,Automatic,Petrol,118000,1800,2014
Volkswagen,Golf,Automatic,Petrol,87022,2000,2013
Mitsubishi,Rvr,Automatic,Petrol,72000,1800,2013
Toyota,Rush,Automatic,Petrol,95000,1500,2014
Toyota,Auris,Automatic,Petrol,74186,1500,2014
Toyota,Auris,Automatic,Petrol,85000,1490,2015
Subaru,Forester,Automatic,Petrol,78000,2000,2013
Toyota,Probox,Automatic,Petrol,91904,1500,2014
Toyota,Harrier,Automatic,Petrol,51000,2000,2015
Nissan,Juke,Automatic,Petrol,117936,1500,2013
Toyota,Alphard,Automatic,Petrol,74696,2350,2009
Mercedes-benz,B180,Automatic,Petrol,78044,1700,2009
Mazda,Premacy,Automatic,Petrol,120000,2000,2010
Mercedes-benz,C250,Automatic,Petrol,71560,2000,2014
Nissan,Skyline,Automatic,Petrol,76020,2500,2009
Land rover,Discovery,Automatic,Diesel,98000,2700,2008
Volkswagen,Golf,Automatic,Petrol,129533,1400,2014
Toyota,Harrier,Automatic,Petrol,61048,1980,2014
Volkswagen,Golf,Automatic,Petrol,112713,1400,2014
Toyota,Isis,Automatic,Petrol,110000,1800,2013
Mitsubishi,Galant,Automatic,Petrol,119000,2000,2013
Mercedes-benz,S350,Automatic,Petrol,160000,3500,2008
Mercedes-benz,Ml-320,Automatic,Diesel,143000,3000,2006
Toyota,Harrier,Automatic,Petrol,61000,1980,2014
Subaru,Forester,Automatic,Petrol,97000,1990,2014
Nissan,Nv200,Automatic,Petrol,131724,1600,2013
Nissan,X-trail,Automatic,Petrol,59000,2000,2014
Subaru,Outback,Automatic,Petrol,118414,2500,2013
Subaru,Forester,Automatic,Petrol,100000,2000,2012
Bmw,X1,Automatic,Petrol,98000,3000,2010
Nissan,Bluebird,Automatic,Petrol,73000,1800,2013
Toyota,Harrier,Automatic,Petrol,86000,2000,2014
Subaru,Forester,Automatic,Petrol,82000,2000,2013
Volkswagen,Golf,Automatic,Petrol,83412,1400,2014
Nissan,Juke,Automatic,Petrol,87000,1500,2013
Toyota,Harrier,Automatic,Petrol,115000,2000,2014
Toyota,Sienta,Automatic,Petrol,147000,1500,2013
Volkswagen,Tiguan,Automatic,Petrol,85000,2000,2014
Mazda,Verisa,Automatic,Petrol,64645,1500,2013
Nissan,Latio,Automatic,Petrol,89000,1200,2014
Nissan,Nv200,Automatic,Petrol,116000,1600,2013
Toyota,Probox,Automatic,Petrol,100000,1500,2014
Mazda,Axela,Automatic,Petrol,93000,1500,2013
Volkswagen,Passat,Manual,Diesel,122000,2000,2011
Toyota,Succeed,Automatic,Petrol,97000,1500,2012
Bmw,X1,Automatic,Petrol,52502,2000,2014
Nissan,X-trail,Automatic,Petrol,93842,2000,2013
Bmw,X3,Automatic,Petrol,94000,2000,2013
Nissan,Note,Automatic,Petrol,91000,1200,2013
Honda,Fit,Automatic,Petrol,75000,1500,2013
Bmw,X3,Automatic,Petrol,78000,3000,2013
Subaru,Forester,Automatic,Petrol,70000,2500,2013
Toyota,Rush,Automatic,Petrol,67000,1500,2013
Toyota,Harrier,Automatic,Petrol,72113,2000,2014
Toyota,Noah,Automatic,Petrol,106178,2000,2013
Nissan,X-trail,Automatic,Petrol,80000,1990,2014
Mazda,Cx-5,Automatic,Diesel,98000,2200,2013
Subaru,Xv,Automatic,Petrol,80677,2000,2013
Toyota,Harrier,Automatic,Petrol,85000,2000,2014
Toyota,Harrier,Automatic,Petrol,72000,1980,2014
Mazda,Axela,Automatic,Petrol,146000,1500,2007
Toyota,Hiace,Manual,Diesel,172000,2500,2013
Nissan,X-trail,Automatic,Petrol,72000,2000,2015
Toyota,Axio,Automatic,Petrol,101150,1300,2013
Volkswagen,Tiguan,Automatic,Petrol,60000,2000,2013
Nissan,Advan,Automatic,Petrol,146273,1300,2013
Land rover,Discovery-iii,Automatic,Diesel,112000,2700,2007
Subaru,Outback,Automatic,Petrol,92000,2500,2015
Subaru,Outback,Automatic,Petrol,60000,2500,2015
Subaru,Forester,Automatic,Petrol,71000,1990,2013
Nissan,Juke,Automatic,Petrol,101000,1500,2013
Volkswagen,Tiguan,Automatic,Petrol,104000,1980,2013
Toyota,Probox,Automatic,Petrol,112000,1300,2015
Nissan,Note,Automatic,Petrol,103146,1200,2013
Volkswagen,Touran,Automatic,Petrol,71000,1400,2013
Toyota,Auris,Automatic,Petrol,82000,1500,2015
Subaru,Xv,Automatic,Petrol,74830,2000,2013
Toyota,Premio,Automatic,Petrol,120078,1800,2013
Honda,Insight,Automatic,Petrol,152000,1300,2013
Subaru,Impreza,Manual,Petrol,98000,2500,2012
Mercedes-benz,C200,Automatic,Petrol,85000,1800,2013
Toyota,Wish,Automatic,Petrol,71000,1800,2014
Nissan,X-trail,Automatic,Petrol,83000,2000,2014
Toyota,Fielder,Automatic,Petrol,76896,1500,2013
Mitsubishi,Pajero,Automatic,Diesel,158074,3200,2014
Toyota,Harrier,Automatic,Petrol,57160,2000,2014
Toyota,Vitz,Automatic,Petrol,96367,1300,2013
Land rover,Discovery-iv,Automatic,Diesel,90000,3000,2011
Toyota,Corolla,Automatic,Petrol,116000,1800,2014
Bmw,523i,Automatic,Petrol,69000,2499,2007
